youtube_id,video_title,duration,view_count,uploader_name,uploader_id,channel_url,video_url
XceZatn5KcY,Dj Rou - If You Feel Like This,324,29641,030esar0303,030esar0303,https://www.youtube.com/channel/UCWJ0h-sGerHCxjAo2vRtkbg,https://www.youtube.com/watch?v=XceZatn5KcY
hpoTZwl9zQU,Chevals - I Am Your Mind (Original Mix),455,17109,Listen Closely,UCBote-U6HFHJV1UwLD3G5rw,https://www.youtube.com/channel/UCBote-U6HFHJV1UwLD3G5rw,https://www.youtube.com/watch?v=hpoTZwl9zQU
CbEewA25qGg,MF DOOM - Devil's Shoestring (Cody Currie's Re-jazz),431,622566,Slav,UC8MLS5X0vWxxa5nyJxfSA1A,https://www.youtube.com/channel/UC8MLS5X0vWxxa5nyJxfSA1A,https://www.youtube.com/watch?v=CbEewA25qGg
FNK8ClpTsOQ,Sweely - Blue Faces [Distant Hawaii],289,10046,Lobster Theremin,UCCkaMDQQp0IesSMgmXs9ouQ,https://www.youtube.com/channel/UCCkaMDQQp0IesSMgmXs9ouQ,https://www.youtube.com/watch?v=FNK8ClpTsOQ
SDxFzfYaxk8,Sweely - Yes He Is [Distant Hawaii],305,8318,Lobster Theremin,UCCkaMDQQp0IesSMgmXs9ouQ,https://www.youtube.com/channel/UCCkaMDQQp0IesSMgmXs9ouQ,https://www.youtube.com/watch?v=SDxFzfYaxk8
Xq5iOtQrsAw,COEO - Mydonna (Alternate Cut),410,182581,Houseum,UC58C_BhzlZIJTeomuVSD2lA,https://www.youtube.com/channel/UC58C_BhzlZIJTeomuVSD2lA,https://www.youtube.com/watch?v=Xq5iOtQrsAw
TiYqlFrhyKA,Paul Cut - Walk,397,16616,DKO Records,Smoll900,https://www.youtube.com/channel/UCnje9hKKrGiseHhWidzX8bg,https://www.youtube.com/watch?v=TiYqlFrhyKA
TLCRsD2f6Mc,Pierre Moritz - Fewnolder,366,143222,Slav,UC8MLS5X0vWxxa5nyJxfSA1A,https://www.youtube.com/channel/UC8MLS5X0vWxxa5nyJxfSA1A,https://www.youtube.com/watch?v=TLCRsD2f6Mc
Dm3RmE2DLbE,Around7 - Discotronic (Robsoul),512,13694,Phil Weeks,UPROCK3000,https://www.youtube.com/channel/UCU5LdMvVwBC_77wtmT4rywQ,https://www.youtube.com/watch?v=Dm3RmE2DLbE
8pt0V09pkBw,Feel Good (K&F Edit),385,44435,La Smoothière,UCJKX0wZOgq4zYjDJCsY1cBw,https://www.youtube.com/channel/UCJKX0wZOgq4zYjDJCsY1cBw,https://www.youtube.com/watch?v=8pt0V09pkBw
07P0Wf-cGaY,Untitled Gear - It's Wonderful,427,152838,Slav,UC8MLS5X0vWxxa5nyJxfSA1A,https://www.youtube.com/channel/UC8MLS5X0vWxxa5nyJxfSA1A,https://www.youtube.com/watch?v=07P0Wf-cGaY
J1SWn2IGOV4,Demuja - Do You Want My Love,318,3165886,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=J1SWn2IGOV4
qiYzBm5ULJw,Bibi Tanga & The Selenites - Be Africa (K&F Edit),440,1997617,ColdCuts // HotWax,UCLbDngg7xrEbndFuiJdPeyQ,https://www.youtube.com/channel/UCLbDngg7xrEbndFuiJdPeyQ,https://www.youtube.com/watch?v=qiYzBm5ULJw
ouBYnhwdzRw,Librarian - I Hope We Can Live On The Moon Someday,424,513568,Slav,UC8MLS5X0vWxxa5nyJxfSA1A,https://www.youtube.com/channel/UC8MLS5X0vWxxa5nyJxfSA1A,https://www.youtube.com/watch?v=ouBYnhwdzRw
11DmCxJhIKI,k2k - We Down For,388,199562,Vals,UCR2XQYvNR0zA3FOyFYgZL8g,https://www.youtube.com/channel/UCR2XQYvNR0zA3FOyFYgZL8g,https://www.youtube.com/watch?v=11DmCxJhIKI
1cJjkSKEA0w,COEO - Like It Is,365,271601,Houseum,UC58C_BhzlZIJTeomuVSD2lA,https://www.youtube.com/channel/UC58C_BhzlZIJTeomuVSD2lA,https://www.youtube.com/watch?v=1cJjkSKEA0w
dothnBCZB34,Childish Gambino - Baby Boy (Official Audio),382,14545704,ChildishGambinoVEVO,ChildishGambinoVEVO,https://www.youtube.com/channel/UCjYO25ZVJT523TD1iYHzcbw,https://www.youtube.com/watch?v=dothnBCZB34
LA4Np-GOF3Q,Oumou Sangaré - Ah Ndiya (K&F Edit),355,949907,driffa,Niekijzerman,https://www.youtube.com/channel/UCNqNbtCSXQQfRKEQ7VgnssQ,https://www.youtube.com/watch?v=LA4Np-GOF3Q
6mkqtjol_Mk,Ruff & Stax - Brando,320,1827,OTTERRR,UCrKtYN-BZgnkn6Yb0WzCVKw,https://www.youtube.com/channel/UCrKtYN-BZgnkn6Yb0WzCVKw,https://www.youtube.com/watch?v=6mkqtjol_Mk
TDI2Y2tkGkI,Demuja - I Want You,395,581429,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=TDI2Y2tkGkI
