youtube_id,video_title,duration,view_count,uploader_name,uploader_id,channel_url,video_url
eBConMNbGdI,Deep & Underground House Music - My Burning Soul (80 Minutes Mix - DJ DeeKaa),4836,17410,DJ DeeKaa,UCsLZ81Hrvxe9bjm2k1cIGLw,https://www.youtube.com/channel/UCsLZ81Hrvxe9bjm2k1cIGLw,https://www.youtube.com/watch?v=eBConMNbGdI
1vkTxakVyjU,"Iner, Radkevich - Love Triangle",330,15421,Houseum,UC58C_BhzlZIJTeomuVSD2lA,https://www.youtube.com/channel/UC58C_BhzlZIJTeomuVSD2lA,https://www.youtube.com/watch?v=1vkTxakVyjU
zygcaf6l5zU,Artem Xio - Make You Smile (Renewed Mix),380,29241,Houseum,UC58C_BhzlZIJTeomuVSD2lA,https://www.youtube.com/channel/UC58C_BhzlZIJTeomuVSD2lA,https://www.youtube.com/watch?v=zygcaf6l5zU
mkErmDCtTVU,Valts Incis - Curly Gurls,393,760,Moskalus,TheMoskalus,https://www.youtube.com/channel/UC5rXILumTV11fEeq7nxWgOA,https://www.youtube.com/watch?v=mkErmDCtTVU
sX0gv5fyVL4,Dusty Springfield - Spooky (Robbie Doherty Edit),395,511216,Slav,UC8MLS5X0vWxxa5nyJxfSA1A,https://www.youtube.com/channel/UC8MLS5X0vWxxa5nyJxfSA1A,https://www.youtube.com/watch?v=sX0gv5fyVL4
rEI6XJQjvQk,ჯონი ბორჯომი - ხო [MOVES001],310,23741,VNRD,UCv0Ufd_Af9VBEi6xoW6ZTfw,https://www.youtube.com/channel/UCv0Ufd_Af9VBEi6xoW6ZTfw,https://www.youtube.com/watch?v=rEI6XJQjvQk
pAIOako69NM,HATT.D - Untitled 31,360,24811,Houseum,UC58C_BhzlZIJTeomuVSD2lA,https://www.youtube.com/channel/UC58C_BhzlZIJTeomuVSD2lA,https://www.youtube.com/watch?v=pAIOako69NM
tT0oAFm-XXw,Brawn (Original Mix),443,608,"JVXTA, Cinthie, Black Loops, k2k - Topic",UC1K7pMCknY6ktLnDgTtQ_jA,https://www.youtube.com/channel/UC1K7pMCknY6ktLnDgTtQ_jA,https://www.youtube.com/watch?v=tT0oAFm-XXw
NqThf-MpCjs,Gypsy Woman (She's Homeless) (La Da Dee La Da Da),452,19857586,Crystal Waters - Topic,UCCn2MdiFc57xE2HynCCESTg,https://www.youtube.com/channel/UCCn2MdiFc57xE2HynCCESTg,https://www.youtube.com/watch?v=NqThf-MpCjs
Vwe0m7oGNE4,ST Germain - So Flute (Ludovic Navarre Amapiano Version 2020),224,54707,St Germain Official,StGermainOfficial,https://www.youtube.com/channel/UCCKFnWNRBFpXk82JFF9-Ncw,https://www.youtube.com/watch?v=Vwe0m7oGNE4
4gZROGK8Odc,Tea 4 Two (Repriz),258,145,Kiss-O-Matic - Topic,UCyMQr5OaLA-cLoH9M3Wc-WA,https://www.youtube.com/channel/UCyMQr5OaLA-cLoH9M3Wc-WA,https://www.youtube.com/watch?v=4gZROGK8Odc
