youtube_id,video_title,duration,view_count,uploader_name,uploader_id,channel_url,video_url
kdnqsd23hqc,Michael Mouse - Still Sick,293,1850,EELF,UCfyuDg7cIVtg04zg3XRlQHQ,https://www.youtube.com/channel/UCfyuDg7cIVtg04zg3XRlQHQ,https://www.youtube.com/watch?v=kdnqsd23hqc
JgBDIYZ8mnc,Frozen Hood - Ka6an and Skeez on da BBQ,135,192,reshaping channel,reshapingwork,https://www.youtube.com/channel/UCqPDZIz8VIeBxJV_KM4vIvA,https://www.youtube.com/watch?v=JgBDIYZ8mnc
T-TjlErh1IA,Deep Dish Presents Prana - The Dream (Sharam's Deep Dish Dreamscape),536,3985,SJ,UCz4A9Rud_n4xR9IRUcamF2w,https://www.youtube.com/channel/UCz4A9Rud_n4xR9IRUcamF2w,https://www.youtube.com/watch?v=T-TjlErh1IA
x_SL1sDCBHA,Kerri Chandler What About Us,430,16771,Organic Audio,southmovement,https://www.youtube.com/channel/UCVYkGBXHWsj0yBsW3dVK8IA,https://www.youtube.com/watch?v=x_SL1sDCBHA
xEgnRniKNpM,Pépé Bradock  -  Vermeille,349,14304,Free is in Da House,FreeisinDaHouseAgain,https://www.youtube.com/channel/UCGkzJmg31dgczktvAikK7Qg,https://www.youtube.com/watch?v=xEgnRniKNpM
NRZU1Q59ddc,Pepe Bradock (18 Carats),330,45700,GlubHouse,GlubHouse,https://www.youtube.com/channel/UCedgMuu4CjpSnoWiv_xS7gg,https://www.youtube.com/watch?v=NRZU1Q59ddc
rRdoFU9mTmA,Pépé Bradock - Life,492,128096,Substantia Nigra,Go0dWill,https://www.youtube.com/channel/UC-Ds1DsoRQTpYHGHcMQ3KgA,https://www.youtube.com/watch?v=rRdoFU9mTmA
UWV6D7WCvBo,Larry Heard - Missing You (Original Version),385,1143725,tonton4o,tonton4o,https://www.youtube.com/channel/UC9GQvoODZYaKZ4mN0rm06Aw,https://www.youtube.com/watch?v=UWV6D7WCvBo
oepPH4VgLnE,Jerome Sydenham & Kerri Chandler - 36 Degress (Tokyo Dub),284,13464,elviiio,elvioo987,https://www.youtube.com/channel/UC2T7v4V2gaA_ymDf73JNLzw,https://www.youtube.com/watch?v=oepPH4VgLnE
VZ8KVku6E_w,The Nathaniel X Project - Rest In Power Robinson & Camacho,346,34443,Traxx Underground,traxxunderground,https://www.youtube.com/channel/UC3rsicK5JhqOY9PsDOofH3g,https://www.youtube.com/watch?v=VZ8KVku6E_w
aqueRJL5tr0,Warwick - Holla.,315,1845,HOUZ,UCZp69rY6af8AqRRPFd9-jDA,https://www.youtube.com/channel/UCZp69rY6af8AqRRPFd9-jDA,https://www.youtube.com/watch?v=aqueRJL5tr0
rKaCvGzFcAU,Midnite Touch - Stronger (2002),462,15788,Rok Torkar,balunga113,https://www.youtube.com/channel/UCKlBuUoUvWsdBiZXKCrU1xw,https://www.youtube.com/watch?v=rKaCvGzFcAU
-01k8eyv9Wc,Soichi Terada - Grand Senshuraku - Sumo Jungle Far East Recording,303,318895,herman,herman8rrr,https://www.youtube.com/channel/UCR6J1daW0gGtrik9cQxQ_7Q,https://www.youtube.com/watch?v=-01k8eyv9Wc
B9Ph9CJpdq8,Pittsburgh Mass Authority - Can't Nobody,368,2910,Namia Gihouse Deepful,Gidelful,https://www.youtube.com/channel/UCWDcUPYeR1hUYyQNxouSWKA,https://www.youtube.com/watch?v=B9Ph9CJpdq8
_nDQ1Va0OKA,Mentalinstrum - Real Good,412,5674,Namia Gihouse Deepful,Gidelful,https://www.youtube.com/channel/UCWDcUPYeR1hUYyQNxouSWKA,https://www.youtube.com/watch?v=_nDQ1Va0OKA
