youtube_id,video_title,duration,view_count,uploader_name,uploader_id,channel_url,video_url
YnAyO0dnJyI,Roni Size - Daylight,353,3532,mickeybeam75,mickeybeam75,https://www.youtube.com/channel/UCJYI6gHkjLBYn8iBSVG91Mg,https://www.youtube.com/watch?v=YnAyO0dnJyI
KFl0hUiz9jE,90s Ambient Jungle Mix [3] (Intelligent DnB),3360,154786,4AM Breaks,UCwS_EHjafevNbFx9DlkSNBw,https://www.youtube.com/channel/UCwS_EHjafevNbFx9DlkSNBw,https://www.youtube.com/watch?v=KFl0hUiz9jE
wb-a-JfJk4Y,Intense - West Side Blues,438,169812,NElNSHlT,NEINSHIT,https://www.youtube.com/channel/UCzbs0b0PdSn2sBzLeiZU5EQ,https://www.youtube.com/watch?v=wb-a-JfJk4Y
BNVg9nO2R0o,DJ Bailey - Intelligent Drum & Bass (1996) - High Quality,8220,115988,blade,81403sk,https://www.youtube.com/channel/UCle7LsrqBdGL1FzCQsaihYw,https://www.youtube.com/watch?v=BNVg9nO2R0o
o18BX0pagjI,Intelligent Manners - Get Back,364,2943,ak musics,UC2ew1ouErgInAmkgTbfPvfg,https://www.youtube.com/channel/UC2ew1ouErgInAmkgTbfPvfg,https://www.youtube.com/watch?v=o18BX0pagjI
dRwZi8VKP-c,Intelligent Manners - Lose You,333,1932,musherally,musherally,https://www.youtube.com/channel/UCeIPIcqQ8u1ZrxT0PgFW2Gw,https://www.youtube.com/watch?v=dRwZi8VKP-c
Kb_QcGIB-kQ,Intelligent Manners - I Lost You Baby,340,14010,Jaan,JKAllTheWayToday,https://www.youtube.com/channel/UCVzRJdRfTfTQMxE-SIx9Wjw,https://www.youtube.com/watch?v=Kb_QcGIB-kQ
ODhdHdIyOIk,Law & Kola Nut - Cleanest Gun (R-WHITES Vol 2),284,1560,mickeybeam75,mickeybeam75,https://www.youtube.com/channel/UCJYI6gHkjLBYn8iBSVG91Mg,https://www.youtube.com/watch?v=ODhdHdIyOIk
zyYlOJ6jFoc,Law & Kola Nut - Symptoms Of Love (R-WHITES Vol 2),344,1052,mickeybeam75,mickeybeam75,https://www.youtube.com/channel/UCJYI6gHkjLBYn8iBSVG91Mg,https://www.youtube.com/watch?v=zyYlOJ6jFoc
yvsRrpIPCoE,Modern Ambient Jungle Mix [3] (Intelligent DnB),3340,319172,4AM Breaks,UCwS_EHjafevNbFx9DlkSNBw,https://www.youtube.com/channel/UCwS_EHjafevNbFx9DlkSNBw,https://www.youtube.com/watch?v=yvsRrpIPCoE
hIqeQ-Nk01g,Intense - Positive Notions,479,142826,isgoanrain,isgoanrain,https://www.youtube.com/channel/UCdNcuTHuGnEYktVJ9JjUHkg,https://www.youtube.com/watch?v=hIqeQ-Nk01g
2BigIC0URHE,"Flytronix - The rhode tune (dnb, 1996)",534,191926,Janusz Ochmann,Royal3591,https://www.youtube.com/channel/UCtGV710DjIU-QKLCfLHiNoQ,https://www.youtube.com/watch?v=2BigIC0URHE
jlxN0NAPDZw,Intelligent 90's Drum & Bass 03: Deep Jungle,3377,14441,Pulsewidth,UC8i5Ited4mHlpPxYy0Y2DPg,https://www.youtube.com/channel/UC8i5Ited4mHlpPxYy0Y2DPg,https://www.youtube.com/watch?v=jlxN0NAPDZw
wTyTmBeaXFw,Intelligent 90's Drum & Bass 05: Atmospheric II,4184,57730,Pulsewidth,UC8i5Ited4mHlpPxYy0Y2DPg,https://www.youtube.com/channel/UC8i5Ited4mHlpPxYy0Y2DPg,https://www.youtube.com/watch?v=wTyTmBeaXFw
Z_b-GiwCLw4,Response & Pliskin - Meadows (Okbron Records),560,6009,mickeybeam75,mickeybeam75,https://www.youtube.com/channel/UCJYI6gHkjLBYn8iBSVG91Mg,https://www.youtube.com/watch?v=Z_b-GiwCLw4
P8U0i7qBnjg,Lemon D - I Can't Stop,403,645396,mickeybeam75,mickeybeam75,https://www.youtube.com/channel/UCJYI6gHkjLBYn8iBSVG91Mg,https://www.youtube.com/watch?v=P8U0i7qBnjg
xVHreYREaKU,Roni Size - Kiss,327,3889,mickeybeam75,mickeybeam75,https://www.youtube.com/channel/UCJYI6gHkjLBYn8iBSVG91Mg,https://www.youtube.com/watch?v=xVHreYREaKU
wTOQNayXi-I,Humb - No Chill,309,4755,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=wTOQNayXi-I
W3Avi17Zyzk,D.Kay & Lee - Manipulate The Universe,427,58109,fuleezs,fuleezs,https://www.youtube.com/channel/UC9EfGlGmpwYhTAzlS3zRQSQ,https://www.youtube.com/watch?v=W3Avi17Zyzk
ki0osfj4Cqc,Jaheim - Put That Woman First (Calibre Vocal Remix),401,62977,drumandbasic,drumandbasic,https://www.youtube.com/channel/UC1RRB9XZKcmTMoNI8ChP01g,https://www.youtube.com/watch?v=ki0osfj4Cqc
e4KvwoYT3cs,Lenny Fontana - Spread Love (Nu:tone Remix),443,144278,Ghostpowder,Ghostpowder,https://www.youtube.com/channel/UCXVj9Cc6O9u7nyazKry5GdA,https://www.youtube.com/watch?v=e4KvwoYT3cs
KvaOgxawKjE,Fall Down On Me (Dj Force & The Evolution Remix),357,752,Various Artists - Topic,UCGPBgBHGdmr1VSaK_3Oitqw,https://www.youtube.com/channel/UCGPBgBHGdmr1VSaK_3Oitqw,https://www.youtube.com/watch?v=KvaOgxawKjE
