youtube_id,video_title,duration,view_count,uploader_name,uploader_id,channel_url,video_url
vQU6jsMPdMo,DJ Dustin - One In a Million (Edit),351,7381,Vals,UCR2XQYvNR0zA3FOyFYgZL8g,https://www.youtube.com/channel/UCR2XQYvNR0zA3FOyFYgZL8g,https://www.youtube.com/watch?v=vQU6jsMPdMo
bs6kmgm37q8,Soulwax - Too Many DJ's (Promo Video) HD,207,341,themosttogain,themosttogain,https://www.youtube.com/channel/UC4tC6f2DIPgv7N9Qxa3GcNA,https://www.youtube.com/watch?v=bs6kmgm37q8
jfhmG3wE_Rk,Playaphonk - PHONKY TOWN (Audio),141,7823622,Revive Music,UCYXIviXPAaaaU_AOotpXTAw,https://www.youtube.com/channel/UCYXIviXPAaaaU_AOotpXTAw,https://www.youtube.com/watch?v=jfhmG3wE_Rk
XHMlnAMEUOg,Doschitai,281,92322,Locked Club - Topic,UCfgKfMo-zs9cjTyF0iQYsxA,https://www.youtube.com/channel/UCfgKfMo-zs9cjTyF0iQYsxA,https://www.youtube.com/watch?v=XHMlnAMEUOg
JlmDIBX4224,Irak,296,62359,Locked Club - Topic,UCfgKfMo-zs9cjTyF0iQYsxA,https://www.youtube.com/channel/UCfgKfMo-zs9cjTyF0iQYsxA,https://www.youtube.com/watch?v=JlmDIBX4224
_u9zlAn0wWM,Edu V Egipet,358,14301,Locked Club - Topic,UC9fmqUnmE9pGVeUwmbYG31g,https://www.youtube.com/channel/UC9fmqUnmE9pGVeUwmbYG31g,https://www.youtube.com/watch?v=_u9zlAn0wWM
RKWvykJAtS4,Trudge - Taken,338,14984,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=RKWvykJAtS4
VGuQs-6rmZQ,O'Flynn - Sunspear (Official Audio),276,104267,O'Flynn Music,UCHsNnkTzCzOQl5OlDgtu2NA,https://www.youtube.com/channel/UCHsNnkTzCzOQl5OlDgtu2NA,https://www.youtube.com/watch?v=VGuQs-6rmZQ
yuyV6G6atoQ,X-Coast - Mango Bay,276,1367117,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=yuyV6G6atoQ
xp6bimmWFHY,Jesse Bru - Phychedellic Brain Paint,414,468364,030esar0303,030esar0303,https://www.youtube.com/channel/UCWJ0h-sGerHCxjAo2vRtkbg,https://www.youtube.com/watch?v=xp6bimmWFHY
ZbFDyzY8J98,Buzz Compass - Think Twice,307,26458,Mr_Kenzo,kenzo10555,https://www.youtube.com/channel/UC4USLDJfI1rPkkVlQE1FRew,https://www.youtube.com/watch?v=ZbFDyzY8J98
BvSFIRFd4SM,Johnny Fiasco  -  The Message,451,22032,Free is in Da House,FreeisinDaHouseAgain,https://www.youtube.com/channel/UCGkzJmg31dgczktvAikK7Qg,https://www.youtube.com/watch?v=BvSFIRFd4SM
bFCUELL9A70,Folamour - Devoted to U,610,1308969,030esar0303,030esar0303,https://www.youtube.com/channel/UCWJ0h-sGerHCxjAo2vRtkbg,https://www.youtube.com/watch?v=bFCUELL9A70
hR5zTDwMmEM,Moloko   Sing it back Herbert's Tasteful Dub,361,15088,DV8 The Original Martin Vogelman,UC2fqUQqdRhEZkRg8BHiARbw,https://www.youtube.com/channel/UC2fqUQqdRhEZkRg8BHiARbw,https://www.youtube.com/watch?v=hR5zTDwMmEM
B8dw5-hPdIg,X CLUB. - A LOVE [Underground Mix],477,12893,definite party material,dpmsound,https://www.youtube.com/channel/UC-IK_TuqOvv6sLSYzousUSQ,https://www.youtube.com/watch?v=B8dw5-hPdIg
yqtfq1X2ukk,OSN 高尔宣 - WITHOUT YOU 没了你 （Lyrics CHN/ROM/ENG/歌詞）,175,370996,Wills Channel,UC7GHLn1bcSMc74hqnKAG7bw,https://www.youtube.com/channel/UC7GHLn1bcSMc74hqnKAG7bw,https://www.youtube.com/watch?v=yqtfq1X2ukk
c7BMqRNvKwk,Partiboi69 - Get Stingy,228,549900,Partiboi69,UCFpGI5tOfL1n9oyF8pS9SOg,https://www.youtube.com/channel/UCFpGI5tOfL1n9oyF8pS9SOg,https://www.youtube.com/watch?v=c7BMqRNvKwk
uc5GtNn1728,KETTAMA - Eastside Avenue,263,75611,Shall Not Fade,UCB4w8ZgPRod0Glvy9Ok7-ZA,https://www.youtube.com/channel/UCB4w8ZgPRod0Glvy9Ok7-ZA,https://www.youtube.com/watch?v=uc5GtNn1728
oDbkSyYbe10,Regal - SCTR [INV008],532,49892,Garrou,garryka,https://www.youtube.com/channel/UCM1MITLQNPg4hLl04yX7zQA,https://www.youtube.com/watch?v=oDbkSyYbe10
BO-gK7JzVgU,Turk Turkelton - Gision of a Vangsta,370,44636,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=BO-gK7JzVgU
hwPAamlcvQI,Amadeezy - Yo Girlfriend!,192,14232,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=hwPAamlcvQI
aYEmlRHFKP0,Ejeca vs Rhythm Operator - Raid,429,26738,IndiciousSoul,IndiciousSoul,https://www.youtube.com/channel/UCujt6aaC7kMV-7RtAzLk1nA,https://www.youtube.com/watch?v=aYEmlRHFKP0
A8H6DT4J-g4,Pi Pu Pa,384,19260,Locked Club - Topic,UCfgKfMo-zs9cjTyF0iQYsxA,https://www.youtube.com/channel/UCfgKfMo-zs9cjTyF0iQYsxA,https://www.youtube.com/watch?v=A8H6DT4J-g4
f4yXuxbiOcA,JKS - Mash Up The Dance [MLKL024],512,25740,HATE,UC6qQOTx9LuKMC5p2dbjmSRg,https://www.youtube.com/channel/UC6qQOTx9LuKMC5p2dbjmSRg,https://www.youtube.com/watch?v=f4yXuxbiOcA
E7H3K0Kq6Sw,Brioche - Paquet Surprise,244,5429,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=E7H3K0Kq6Sw
Oa2kCDpvFKw,Ibuki's Stage - Twilight (Arranged),145,206552,Rickenslacker,Rickenslacker,https://www.youtube.com/channel/UCWbqyn8eoHnzJ56S4H2pIiA,https://www.youtube.com/watch?v=Oa2kCDpvFKw
22J4B6P1WnA,Hyas - This Bitch,295,2709,Novaj 新し,UCgSC4NFr_xwN-lBfBbLqprw,https://www.youtube.com/channel/UCgSC4NFr_xwN-lBfBbLqprw,https://www.youtube.com/watch?v=22J4B6P1WnA
HEjhaJ7Q-Do,TDJ - Raved 2 Death [RAWSH02],230,7573,RAW,UCVYRGoaz1vOWJzzScbwcUQw,https://www.youtube.com/channel/UCVYRGoaz1vOWJzzScbwcUQw,https://www.youtube.com/watch?v=HEjhaJ7Q-Do
1cKCy5cbf78,Chlär - Magalenha [RAWSH02],410,16136,RAW,UCVYRGoaz1vOWJzzScbwcUQw,https://www.youtube.com/channel/UCVYRGoaz1vOWJzzScbwcUQw,https://www.youtube.com/watch?v=1cKCy5cbf78
fR6YBZ8CTuw,Mall Grab - Let U Kno,344,210336,hurfyd,hurfyd,https://www.youtube.com/channel/UCzeR0_RWnpNHe6y4DTLwE5Q,https://www.youtube.com/watch?v=fR6YBZ8CTuw
KyjxRbOjtwI,Mall Grab - Roadworks,317,246048,Projects MMXIV,UC1KUI7WcNHwewCGX11JJfAA,https://www.youtube.com/channel/UC1KUI7WcNHwewCGX11JJfAA,https://www.youtube.com/watch?v=KyjxRbOjtwI
BVxLljGOBxk,Fede Lng - Looking From Above (Original Mix) [AOWW002],366,1476,Axe OnWax,UCBmx_zyuF5EIUfCVzb_y4XQ,https://www.youtube.com/channel/UCBmx_zyuF5EIUfCVzb_y4XQ,https://www.youtube.com/watch?v=BVxLljGOBxk
AN-1wqkRZI8,Denis Sulta - Saturday Nite,295,41081,PlasticSoul06,UCwJED8kWKIVNor_FmLvQw1w,https://www.youtube.com/channel/UCwJED8kWKIVNor_FmLvQw1w,https://www.youtube.com/watch?v=AN-1wqkRZI8
34qYESmFpII,Matt Finnegan - Cry If You Need To,377,2539,Saw-mon and Natalie,UCReYzertX6orFSx0AhdLF0Q,https://www.youtube.com/channel/UCReYzertX6orFSx0AhdLF0Q,https://www.youtube.com/watch?v=34qYESmFpII
kGLPjVimdyg,Hermeth - Situationship,381,13190,definite party material,dpmsound,https://www.youtube.com/channel/UC-IK_TuqOvv6sLSYzousUSQ,https://www.youtube.com/watch?v=kGLPjVimdyg
21e9d1S2fk0,Bradock - Atom Funk [1997],393,5751,Old Skool Rewind Official,UCBod7M_EX2QsgsrV9ZA6J7g,https://www.youtube.com/channel/UCBod7M_EX2QsgsrV9ZA6J7g,https://www.youtube.com/watch?v=21e9d1S2fk0
Zr8-lGr1SrI,Mézigue - Mangeur Paname,344,1118,Skylax Records,skylaxrecords,https://www.youtube.com/channel/UCZ9MTcbhgL6pL1H0R2qyoIw,https://www.youtube.com/watch?v=Zr8-lGr1SrI
_Ktu8B7zNas,estelle - american boy (slowed & reverb),343,11597891,s l o w e d j a m s,UCTDJ8ZQ-TS6OFnbr3gIxlXQ,https://www.youtube.com/channel/UCTDJ8ZQ-TS6OFnbr3gIxlXQ,https://www.youtube.com/watch?v=_Ktu8B7zNas
61QzoFaYDQY,Rabo De Saia - Ripa Na Xulipa [Extended Charles Maurice Version],329,664474,FIVE,fivedeejay,https://www.youtube.com/channel/UCdbxrDHqMp9iyWTZ-YyGRzg,https://www.youtube.com/watch?v=61QzoFaYDQY
7CxUqx75TZc,Braga Circuit - Will Luv You Good,377,2622,skambas,skambajs2,https://www.youtube.com/channel/UC-v-aqLx-6BfhXpObe-A7Tg,https://www.youtube.com/watch?v=7CxUqx75TZc
uTWZro4mw4w,Gnork - Blorp 93,396,166403,Gnork // Earth Plates,endroyd,https://www.youtube.com/channel/UC5vu-jK6cS3dJ1dzTdpBqXg,https://www.youtube.com/watch?v=uTWZro4mw4w
fBbHJ2ojvwo,Bring,295,152767,Randomer - Topic,UC3gX06AMrrp6hAnf1_lKCXQ,https://www.youtube.com/channel/UC3gX06AMrrp6hAnf1_lKCXQ,https://www.youtube.com/watch?v=fBbHJ2ojvwo
p6tCvW4O-Rc,Gutinstinct - Just Let Me Be,383,136432,Bracknell TV,UCfd6Sga10zMx53FEtYx_wZQ,https://www.youtube.com/channel/UCfd6Sga10zMx53FEtYx_wZQ,https://www.youtube.com/watch?v=p6tCvW4O-Rc
XM3bB7FMHhc,E-Ville - Sonic Animation,271,38497,USBbuttplug,USBbuttplug,https://www.youtube.com/channel/UC6wcmiZRmZC2eDibGtTDaSQ,https://www.youtube.com/watch?v=XM3bB7FMHhc
FHm5H3OfvPM,Mall Grab - Feel U,388,4478873,Djegu,Djekoziback,https://www.youtube.com/channel/UCEAA__R-rG0GSbDkpLP-ODg,https://www.youtube.com/watch?v=FHm5H3OfvPM
yhtG1FF8JAs,Gutinstinct - The Girl You Love,345,735,sticky,UC_Fqk21LT3EX6yMGoa26AtA,https://www.youtube.com/channel/UC_Fqk21LT3EX6yMGoa26AtA,https://www.youtube.com/watch?v=yhtG1FF8JAs
qqHiQNL1kSk,"HNNY - Gymnastics (12'' - LT041,Side B1) 2013",281,72522,Local Talk Records,LocalTalkRecords,https://www.youtube.com/channel/UCpAYHD-PchKpe-daPItVhuA,https://www.youtube.com/watch?v=qqHiQNL1kSk
k8VdaYiX0oA,AJAE - Allnite,337,2798,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=k8VdaYiX0oA
f32L6-RPsmc,Constantia Mom - Fingers,398,11668,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=f32L6-RPsmc
sGQbtyctPmE,Camille Yarbrough - Take Yo' Praise (1975),250,593334,toniojadetto,toniojadetto,https://www.youtube.com/channel/UCQMmxQlFfQm-4zQHMmYf6hw,https://www.youtube.com/watch?v=sGQbtyctPmE
pycwa8BfyZc,Trudge - Give,382,29323,District Groove,UCmHvYVBiP8drNZF1L1JhXFQ,https://www.youtube.com/channel/UCmHvYVBiP8drNZF1L1JhXFQ,https://www.youtube.com/watch?v=pycwa8BfyZc
pjoQuJtl8Rg,Neo Image - Positive Pressure,350,42939,Mood Hut,UCpLvfc0dtbtocR4EviIllSQ,https://www.youtube.com/channel/UCpLvfc0dtbtocR4EviIllSQ,https://www.youtube.com/watch?v=pjoQuJtl8Rg
OaCTCZ0_y3E,Jesse Bru - Life's Alright,345,27083,Houseum,UC58C_BhzlZIJTeomuVSD2lA,https://www.youtube.com/channel/UC58C_BhzlZIJTeomuVSD2lA,https://www.youtube.com/watch?v=OaCTCZ0_y3E
g4aauusCk-s,3 S - King Kante,409,509872,Slav,UC8MLS5X0vWxxa5nyJxfSA1A,https://www.youtube.com/channel/UC8MLS5X0vWxxa5nyJxfSA1A,https://www.youtube.com/watch?v=g4aauusCk-s
sukhjDEx5_M,DENIS SULTA - D_K_Y (BUT I DO) (SULTA SELECTS 3),398,430155,Maslow Unknown,UCrgSrKO2ZUYJCirOP9bzDQg,https://www.youtube.com/channel/UCrgSrKO2ZUYJCirOP9bzDQg,https://www.youtube.com/watch?v=sukhjDEx5_M
Mw4ATd0ch2o,DJ RaSoul - True Science,598,94330,Ali Fotoohi,DJALI1970,https://www.youtube.com/channel/UCgk_NYj3pNIo4MTH_uFaoCA,https://www.youtube.com/watch?v=Mw4ATd0ch2o
CdKClOqQAPU,Fede Lng - Inside Your Love (Edit) [PNP001],269,18479,Axe OnWax,UCBmx_zyuF5EIUfCVzb_y4XQ,https://www.youtube.com/channel/UCBmx_zyuF5EIUfCVzb_y4XQ,https://www.youtube.com/watch?v=CdKClOqQAPU
cocTyDZOYrM,Deejay Astral - Say Yes [PNP 001],297,3800,Axe OnWax,UCBmx_zyuF5EIUfCVzb_y4XQ,https://www.youtube.com/channel/UCBmx_zyuF5EIUfCVzb_y4XQ,https://www.youtube.com/watch?v=cocTyDZOYrM
Y8qHdpITKV8,I Understand BS Fluently But I Can't Speak It,301,10801,Skin on Skin - Topic,UCx_Ct-k6fTTmCrDF85jb9zw,https://www.youtube.com/channel/UCx_Ct-k6fTTmCrDF85jb9zw,https://www.youtube.com/watch?v=Y8qHdpITKV8
MlA4GXb2H90,DJ Rasoul  -  Untitled Deepness,434,9931,Free is in Da House,FreeisinDaHouseAgain,https://www.youtube.com/channel/UCGkzJmg31dgczktvAikK7Qg,https://www.youtube.com/watch?v=MlA4GXb2H90
4Tq8uIn32yg,Amadeezy - This Deezay,310,9357,kurashvili,leoleo19951,https://www.youtube.com/channel/UCXo2In8ebIHPGBW4raEJtAQ,https://www.youtube.com/watch?v=4Tq8uIn32yg
FZC9s5YGsds,Partiboi69 - Ghettomusick (MV Reupload),209,3344,dentron,UCkJFfXIqZdn6AEfYyV0rY_A,https://www.youtube.com/channel/UCkJFfXIqZdn6AEfYyV0rY_A,https://www.youtube.com/watch?v=FZC9s5YGsds
