youtube_id,video_title,duration,view_count,uploader_name,uploader_id,channel_url,video_url
lxG9kJttc64,Turk Turkelton - X Statione [LOP013],303,11640,HATE,UC6qQOTx9LuKMC5p2dbjmSRg,https://www.youtube.com/channel/UC6qQOTx9LuKMC5p2dbjmSRg,https://www.youtube.com/watch?v=lxG9kJttc64
X8jojLc9MYQ,Turk Turkelton - Safe [LOP013],289,5907,HATE,UC6qQOTx9LuKMC5p2dbjmSRg,https://www.youtube.com/channel/UC6qQOTx9LuKMC5p2dbjmSRg,https://www.youtube.com/watch?v=X8jojLc9MYQ
HjQ0T04mc6A,Turk Turkelton - Acqualunge [LOP013],247,5703,HATE,UC6qQOTx9LuKMC5p2dbjmSRg,https://www.youtube.com/channel/UC6qQOTx9LuKMC5p2dbjmSRg,https://www.youtube.com/watch?v=HjQ0T04mc6A
EuiJIiFPpQo,Raär - She's Already Here,485,136403,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=EuiJIiFPpQo
h2y7nB8JX5I,Turk Turkelton - Rock It [LOP013],291,14330,HATE,UC6qQOTx9LuKMC5p2dbjmSRg,https://www.youtube.com/channel/UC6qQOTx9LuKMC5p2dbjmSRg,https://www.youtube.com/watch?v=h2y7nB8JX5I
eAgVWuNnV4E,Hotmood - 700 Copies,404,10663,Gazzz696,Gazzz696,https://www.youtube.com/channel/UC2GK1jS6xrYTh4Xo9qsYSgQ,https://www.youtube.com/watch?v=eAgVWuNnV4E
kFvERsJ2Jog,Turk Turkelton - Ma Darling,390,53743,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=kFvERsJ2Jog
EU9FQOQkDBo,Folamour 'Oyabun',348,6528,Classic Music Company,ClassicMusicCompany,https://www.youtube.com/channel/UCFNfezEnS1klpHCbH0fFlZA,https://www.youtube.com/watch?v=EU9FQOQkDBo
vcT0IIMzNWU,Folamour 'Kickflippin' That Stuff',217,18185,Classic Music Company,ClassicMusicCompany,https://www.youtube.com/channel/UCFNfezEnS1klpHCbH0fFlZA,https://www.youtube.com/watch?v=vcT0IIMzNWU
DyxApRibsk4,Folamour 'Look At Me Or I'll Steal Your Eyes',476,10653,Classic Music Company,ClassicMusicCompany,https://www.youtube.com/channel/UCFNfezEnS1klpHCbH0fFlZA,https://www.youtube.com/watch?v=DyxApRibsk4
WZvFUyTdFFc,Blaze presents Cassioware feat. Sajaeda  -  Fantasy (Klubhead Mix),381,28255,Free is in Da House,FreeisinDaHouseAgain,https://www.youtube.com/channel/UCGkzJmg31dgczktvAikK7Qg,https://www.youtube.com/watch?v=WZvFUyTdFFc
LnLoiNbESB4,Beckett - Merci,400,38541,Houseum,UC58C_BhzlZIJTeomuVSD2lA,https://www.youtube.com/channel/UC58C_BhzlZIJTeomuVSD2lA,https://www.youtube.com/watch?v=LnLoiNbESB4
dzbR9DZezbI,Detroit / McMillan & Tab ‎/ 10KG025 [2002],526,4255,The Proud Mistress,UCoAEGKn_jSCsd-6P6pGN_Rg,https://www.youtube.com/channel/UCoAEGKn_jSCsd-6P6pGN_Rg,https://www.youtube.com/watch?v=dzbR9DZezbI
S5ART96udgk,Folamour 'Y'all Right',334,5570,Classic Music Company,ClassicMusicCompany,https://www.youtube.com/channel/UCFNfezEnS1klpHCbH0fFlZA,https://www.youtube.com/watch?v=S5ART96udgk
k71_d5oZJLM,Turk Turkelton - Pony,298,13519,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=k71_d5oZJLM
9-NbSZRmb6c,Mad Rey - Real Shit,517,40845,DKO Records,Smoll900,https://www.youtube.com/channel/UCnje9hKKrGiseHhWidzX8bg,https://www.youtube.com/watch?v=9-NbSZRmb6c
4_LGeD3Yos8,Locked Club - Kuliki,189,8674,7x11x13,UC1YTajqhUd01VO-yr5bL08A,https://www.youtube.com/channel/UC1YTajqhUd01VO-yr5bL08A,https://www.youtube.com/watch?v=4_LGeD3Yos8
DWJIb-FZWVM,Grey And Hanks ‎– You Fooled Me ℗ 1978,336,2376,Antony Rosano,MrAntoros,https://www.youtube.com/channel/UCzHrTMS07KeopqK_8TcTPNA,https://www.youtube.com/watch?v=DWJIb-FZWVM
2yynQ9ik940,Rebound X - Rhythm & Gash (Mark Blair's Rave Edit),327,617,MARK BLAIR,UC0JRSW_tAvs-ebhuvZDfXYg,https://www.youtube.com/channel/UC0JRSW_tAvs-ebhuvZDfXYg,https://www.youtube.com/watch?v=2yynQ9ik940
llFklEJeqR0,TECH SUPPORT - SWEETEST PAIN,311,187,KingShadyDemon,UC-ojAvAww1wKC4IdK8foS2Q,https://www.youtube.com/channel/UC-ojAvAww1wKC4IdK8foS2Q,https://www.youtube.com/watch?v=llFklEJeqR0
